dataset,quality,beta,bpp,PSNR,FID,LPIPS,DISTS
CLIC,0.0,3.84,0.07974858079749401,30.16398689001634,5.719668316367347,0.08371182239971289,0.07480015501240704
CLIC,0.25,3.84,0.09178072987631564,30.685495465077118,5.20775151990631,0.07561554860271444,0.07054827202146298
CLIC,0.5,3.84,0.10561059551818398,31.180567693167028,4.6657426216872295,0.06821335799052058,0.06568949425888952
CLIC,0.75,3.84,0.12154749618523165,31.640437918113292,4.122869344803803,0.06127083278913921,0.06032085265511664
CLIC,1.0,3.84,0.14005168132924842,32.04123122113912,3.5926157159046284,0.05491559378907224,0.05433342000034368
CLIC,1.25,3.84,0.1641692607192255,32.678477327452434,3.1217300283453824,0.04859802142769168,0.05029699526657568
CLIC,1.5,3.84,0.19235154756851972,33.25876464593361,2.655066864970479,0.043066385056318664,0.04530448724176282
CLIC,1.75,3.84,0.22539477884328227,33.7990335348509,2.216906779348733,0.03802591688478383,0.03994467283520743
CLIC,2.0,3.84,0.2644395418859513,34.28546169276053,1.8269929374798721,0.0335838459453885,0.03429924522604898
CLIC,2.25,3.84,0.307882720363126,34.962100606097145,1.6360817588943632,0.02949359682366844,0.031634404559001746
CLIC,2.5,3.84,0.3599998032355415,35.55303663213333,1.4488915182881215,0.026017461518243513,0.028548485904096442
CLIC,2.75,3.84,0.42062086463617465,36.15944020406818,1.2566532874873815,0.022379849647894225,0.025293765224028972
CLIC,3.0,3.84,0.4892851638836981,36.662704769403305,1.1079503676238573,0.01936153274586546,0.02167412374064187
CLIC,3.25,3.84,0.5400030226640887,37.09906731579102,1.018831695736992,0.017743345245579693,0.019343418356414153
CLIC,3.5,3.84,0.595945569061349,37.50239563489482,0.9741565976439119,0.016438096999974103,0.017198768870852817
CLIC,3.75,3.84,0.6573521118367025,37.85657539143957,0.9953539497233805,0.015400145308410523,0.015470380537977842
CLIC,4.0,3.84,0.7246284559576794,38.05749911676218,1.0107364457421113,0.014508339271784942,0.014340964015399185
CLIC,0.0,0.0,0.07974858079749401,30.895299279824904,41.53672184549464,0.24407659472775795,0.17534605002848902
CLIC,0.25,0.0,0.09178072987631564,31.391822669603243,39.102449885259034,0.2295234669609187,0.16768865621535578
CLIC,0.5,0.0,0.10561059551818398,31.89119259439617,36.32515273352158,0.21456071015482195,0.15945770194597333
CLIC,0.75,0.0,0.12154749618523165,32.387449333316184,33.510175446632616,0.19941468548168925,0.1508598817843143
CLIC,1.0,0.0,0.14005168132924842,32.8827090059485,30.770836639845015,0.18374834587867153,0.1415384035801219
CLIC,1.25,0.0,0.1641692607192255,33.47661050926396,27.671693348001895,0.17104650821066766,0.13346599585542054
CLIC,1.5,0.0,0.19235154756851972,34.0633883105365,24.664898346606265,0.15822182382483072,0.12443844096682896
CLIC,1.75,0.0,0.22539477884328227,34.66032467902942,21.952569066565673,0.1454895925708115,0.1154609750085902
CLIC,2.0,0.0,0.2644395418859513,35.26250540444513,19.297775775061837,0.13261034659971702,0.10607875521494964
CLIC,2.25,0.0,0.307882720363126,35.82195487671521,16.78637820309467,0.11876430569181794,0.09796995439819087
CLIC,2.5,0.0,0.3599998032355415,36.38279028650047,14.550522772296745,0.10582656988212577,0.08953825474899506
CLIC,2.75,0.0,0.42062086463617465,37.03752420890891,12.60071382115251,0.09236176213397532,0.08127977469257106
CLIC,3.0,0.0,0.4892851638836981,37.63801685097004,10.935977701431966,0.07801517298244914,0.07224834021006789
CLIC,3.25,0.0,0.5400030226640887,38.04692231251235,10.082234666189379,0.07183246477071857,0.06742382439497475
CLIC,3.5,0.0,0.595945569061349,38.44404238191692,9.267460884809225,0.06527620011496697,0.06232360033231361
CLIC,3.75,0.0,0.6573521118367025,38.83186888444894,8.427594709342657,0.05869209074315171,0.05705010765623823
CLIC,4.0,0.0,0.7246284559576794,39.20377012284534,7.622657622964198,0.05224446763684886,0.051544669214810164
